$VAR__
Name|Platform|Year|Publisher|Global_Sales
NBA ShootOut|PS|1995|Sony Computer Entertainment|0.31
Petz: Catz 2|PS2|2006|Ubisoft|0.37
Dissidia: Final Fantasy Universal Tuning|PSP|2009|Square Enix|0.06
Just Dance|Wii|2009|Ubisoft|7.27
Rayman Legends|PS3|2013|Ubisoft|0.66
WarCraft II: The Dark Saga|PS|1997|Electronic Arts|0.31
Blood Omen 2|PS2|2002|Eidos Interactive|0.39
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan|3DS|2011|Square Enix|0.13
Kidou Senshi Gundam: Shin Gihren no Yabou|PSP|2011|Namco Bandai Games|0.14
Outlaw Tennis|PS2|2005|Global Star|0.08
NFL Head Coach 09|X360|2008|Electronic Arts|0.11
Secret Files: Tunguska|PC|2006|DreamCatcher Interactive|0.05
Guilty Gear Judgment|PSP|2006|Majesco Entertainment|0.16
Dragon Ball Z: Budokai 2|GC|2004|Atari|0.27
2010 FIFA World Cup South Africa|X360|2010|Electronic Arts|0.86
The Legend of Heroes: Trails of Cold Steel|PS3|2013|Nippon Ichi Software|0.22
Nicktoons Collection: Game Boy Advance Video Volume 1|GBA|2004|N/A|0.64
Hasbro Family Game Night|Wii|2008|Electronic Arts|1.45
Zyuden Sentai Kyoryuger: Game de Gaburincho!!|3DS|2013|Namco Bandai Games|0.05
Ride|PC|2015|Milestone S.r.l.|0.03
God Eater 2: Rage Burst|PS4|2015|Namco Bandai Games|0.1
McDROID|PSP|2011|Namco Bandai Games|0.05
The Sims 2: Pets|PC|2006|Electronic Arts|0.04
Driven|PS2|2001|BAM! Entertainment|0.15
Mega Man Legacy Collection|3DS|2016|Capcom|0.2
Test Drive|XB|2002|Atari|0.42
Seaman|DC|1999|Sega|0.52
Angelique Trois|PS2|2000|Tecmo Koei|0.06
Sengoku Basara 3 Utage|PS3|2011|Capcom|0.22
Top Spin 4|Wii|2011|Take-Two Interactive|0.16
Summer Challenge: Athletics Tournament|Wii|2011|PQube|0.02
American Idol|PS2|2003|Codemasters|0.55
Duel Masters: Kaijudo Showdown|GBA|2004|Atari|0.22
Gummy Bears Magical Medallion|Wii|2011|Storm City Games|0.02
Chicken Shoot 2|GBA|2005|Zoo Digital Publishing|0.03
Jikkyou Powerful Pro Yakyuu 11|GC|2004|Konami Digital Entertainment|0.1
MotionSports|X360|2010|Ubisoft|0.7
Sonic the Hedgehog 3|GEN|1994|Sega|1.76
Megamind: The Blue Defender|DS|2010|THQ|0.27
Attack on Titan (KOEI)|XOne|2016|Tecmo Koei|0.03
Earth Seeker|Wii|2011|Kadokawa Shoten|0.02
Darksiders|PS3|2010|THQ|0.02
Tongari Boushi to Mahou no Otana|DS|2010|Konami Digital Entertainment|0.44
Europa Universalis III Complete|PC|2008|Paradox Interactive|0.02
Mini-Yonku GB: Let's & Go!!|GB|1997|ASCII Entertainment|0.37
Def Jam Vendetta|GC|2003|Electronic Arts|0.25
Yes! Precure 5 Go Go Zenin Shu Go! Dream Festival|DS|2008|Namco Bandai Games|0.02
Imperial Glory|PC|2005|Eidos Interactive|0.04
Yu-Gi-Oh! GX: Tag Force 3|PSP|2008|Konami Digital Entertainment|0.23
Samurai Champloo: Sidetracked|PS2|2006|Namco Bandai Games|0.05
Mystic Heroes|PS2|2002|Tecmo Koei|0.06
Mega Man Legacy Collection|PS4|2016|Capcom|0.07
Brunswick Cosmic Bowling|Wii|2010|GameMill Entertainment|0.18
X-Men: The Official Game|X360|2006|Activision|0.17
Bejeweled 3|PS3|N/A|Unknown|0.14
Battle of Giants: Mutant Insects|DS|2010|Ubisoft|0.27
Spider-Man 3|PS2|2007|Activision|0.9
Assassin's Creed III|PS3|2012|Ubisoft|6.5
Mega Man X: Command Mission|GC|2004|Capcom|0.12
Dragon Ball GT: Game Boy Advance Video Volume 1|GBA|2004|N/A|0.17
River Raid|2600|1981|Activision|1.6
Football Manager Handheld 2010|PSP|2009|Sega|0.36
Band Hero|Wii|2009|Activision|0.99
Supreme Commander 2|X360|2010|Square Enix|0.35
WTF: Work Time Fun|PSP|2005|Sony Computer Entertainment|0.04
Guitar Hero Live|XOne|2015|Activision|0.51
Hot Wheels: Beat That!|X360|2007|Activision|0.17
Shin Sangoku Musou: Multi Raid 2|PSP|2010|Tecmo Koei|0.11
Tiger Woods PGA Tour|DS|2004|Electronic Arts|0.15
Nodame Cantabile: Tanoshii Ongaku no Jikan Desu|DS|2010|Namco Bandai Games|0.02
NBA Live 2002|XB|2001|Electronic Arts|0.4
World Championship Poker: Howard Lederer - All In|PSP|2006|505 Games|0.14
Renegade Racers|PS|1999|Interplay|0.03
Doom II: Hell on Earth|PC|1994|Virgin Interactive|3.61
Shattered Union|XB|2005|Take-Two Interactive|0.04
Luminous Arc Infinity|PSV|2015|Marvel Entertainment|0.05
Katekyoo Hitman Reborn! Kindan no Yami no Delta|Wii|2008|Marvelous Interactive|0.01
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers|DS|2010|Hudson Soft|0.02
Star Wars: Battlefront|XB|2004|Activision|1.75
Pokemon Mystery Dungeon: Red/Blue Rescue Team|GBA|2005|Nintendo|2.06
Gauntlet Legends|N64|1999|Midway Games|0.54
World Series of Poker 2008: Battle for the Bracelets|X360|2007|Activision|0.08
Iron Chef America: Supreme Cuisine|DS|2008|Destineer|0.19
Star Wars: Bounty Hunter|PS2|2002|LucasArts|1.09
Looney Tunes: Back in Action|GBA|2003|Electronic Arts|0.18
Enchanted Arms|X360|2006|Ubisoft|0.19
Ed, Edd n Eddy: The Mis-Edventures|GC|2005|Midway Games|0.25
High Rollers Casino|XB|2004|Mud Duck Productions|0.13
The Sims 2|PC|2004|Electronic Arts|0.3
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi|DS|2011|Unknown|0.01
WWE SmackDown vs. Raw 2011|X360|2010|THQ|0.88
NCAA Football 07|PS2|2006|Electronic Arts|1.7
Star Wars Episode III: Revenge of the Sith|DS|2005|Ubisoft|0.31
The Jak and Daxter Collection|PS3|2012|Sony Computer Entertainment|0.89
Bully|PS2|2006|Take-Two Interactive|0.94
Spy Hunter: Nowhere To Run|PS2|2006|Midway Games|0.02
NickToons: Racing|PS|2001|Hasbro Interactive|0.17
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!|PS2|2002|Sega|0.55
Crash Bandicoot: The Huge Adventure|GBA|2002|Universal Interactive|1.73
Kensei: Sacred Fist|PS|1997|Konami Digital Entertainment|0.02
Heroes over Europe|X360|2009|Ubisoft|0.14
Football Manager 2007|X360|N/A|Sega|0.02
Aqua Panic!|DS|2009|Neko Entertainment|0.02
Smart Boy's Winter Wonderland|DS|2008|UFO Interactive|0.01
Calcio Bit|GBA|2006|Nintendo|0.03
Tom Clancy's Splinter Cell|PS2|2003|Ubisoft|2.65
Tony Hawk's Pro Skater 3|XB|2002|Activision|0.55
Earthworm Jim 3D|N64|1999|Interplay|0.12
Brain Age 2: More Training in Minutes a Day|DS|2005|Nintendo|15.3
Bomberman II|NES|1991|Hudson Soft|0.44
No Fear Downhill Mountain Biking|PS|1998|Codemasters|0.13
Tony Hawk's American Wasteland (Old all region sales)|PS2|2005|Activision|1.62
This War of Mine|PS4|2016|Deep Silver|0.02
Dora the Explorer: Dora Saves the Crystal Kingdom|Wii|2009|Take-Two Interactive|0.27
Ninja Gaiden: Dragon Sword|DS|2008|Tecmo Koei|0.22
Sakura Sakura: Haru Urara|PSP|2010|GN Software|0.01
Drome Racers|GBA|2003|THQ|0.03
Sonic Rivals 2|PSP|2007|Sega|1.52
Enduro|2600|1982|Quelle|0.87
NHL Hitz Pro|PS2|2003|Midway Games|0.19
Captain America: Super Soldier|DS|N/A|Sega|0.05
Batman: Arkham City|PC|2011|Warner Bros. Interactive Entertainment|0.53
Valhalla Knights 3|PSV|2013|Xseed Games|0.19
High School Musical 3: Senior Year DANCE!|PS2|2008|Disney Interactive Studios|0.34
Rock Revolution|X360|2008|Konami Digital Entertainment|0.27
Jewels of the Tropical Lost Island|DS|2010|Storm City Games|0.24
Burnout Revenge|XB|2005|Electronic Arts|0.53
Street Fighter Alpha 3|GBA|2002|Capcom|0.15
Sotsugyou II: Neo Generation|PS|1995|Riverhillsoft|0.04
X-Men: Next Dimension|XB|2002|Activision|0.11
Mat Hoffman's Pro BMX 2|PS2|2002|Activision|0.46
Race Driver: Create & Race|DS|2007|Codemasters|0.02
Call of Duty: Modern Warfare 3: Defiance|DS|2011|Activision|0.3
Kane & Lynch: Dead Men|PS3|2007|Eidos Interactive|0.76
Gravity Rush Remastered|PS4|2015|Sony Computer Entertainment|0.13
World Championship Poker 2: Featuring Howard Lederer|PSP|2005|505 Games|0.14
Divinity II: Ego Draconis|PC|2009|DTP Entertainment|0.08
.hack//G.U. Vol.1//Rebirth|PS2|2006|Namco Bandai Games|0.17
Nobunaga no Yabou: Soutensoku with Power-Up Kit|PSP|2011|Tecmo Koei|0.02
To Heart 2 DX Plus|PS3|2011|Aqua Plus|0.05
The Great Mystery Hidden Object Package 5|PC|2015|Rondomedia|0.03
Lovely Lisa and Friends|DS|2010|Tomy Corporation|0.13
Madden NFL 15|XOne|2014|Electronic Arts|1.51
Vitamin Y|DS|2008|D3Publisher|0.01
Senran Kagura Burst: Guren no Sh?jo-tachi|3DS|2012|Marvelous Entertainment|0.14
Pony Friends 2|PC|2009|Eidos Interactive|0.01
Puzzler Collection|Wii|2008|Ubisoft|0.06
Devil May Cry 4|PC|2008|Capcom|0.04
Tales of Symphonia|PS3|2013|Namco Bandai Games|0.54
Go, Diego, Go!: Great Dinosaur Rescue|PS2|2008|Take-Two Interactive|0.32
MySims SkyHeroes|DS|2010|Electronic Arts|0.33
Virtual Hydlide|SAT|1995|Sega|0.11
Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)|Wii|2009|Activision|0.49
Disney's Chip 'n Dale: Rescue Rangers|NES|1990|Capcom|1.19
Blue's Clues: Blue's Big Musical|PS|2001|THQ|0.5
Rugrats: Scavenger Hunt|N64|1999|THQ|0.51
Sakura Taisen Hanagumi Tsuushin|SAT|1997|Sega|0.11
Puzzle Chronicles|DS|2010|Konami Digital Entertainment|0.02
Turok|X360|2008|Touchstone|0.75
EA Sports Active|Wii|2009|Electronic Arts|3.92
FIFA Soccer 07|PS2|2006|Electronic Arts|4.11
Destroy All Humans! Path of the Furon|PS3|2009|THQ|0.09
Atelier Totori: The Adventurer of Arland|PS3|2010|Nippon Ichi Software|0.43
Tales of Destiny 2|PSP|2007|Namco Bandai Games|0.12
Memories Off #5: Encore|PS2|2007|CyberFront|0.02
Disney's Meet the Robinsons|DS|2007|Disney Interactive Studios|0.02
Ailu de Puzzle|PSP|2012|Capcom|0.04
Sabrina The Teenage Witch: Potion Commotion|GBA|2002|Ubisoft|0.11
Sins of a Solar Empire|PC|2008|Pinnacle|0.03
Storm Lover 2nd|PSP|2013|D3Publisher|0.02
Disney Princess|GBA|2003|THQ|1.47
Professor Layton and the Mask of Miracle|3DS|2011|Nintendo|1.78
Vandal Hearts II|PS|1999|Konami Digital Entertainment|0.1
Infected|PSP|2005|THQ|0.16
Imagine: Movie Star|DS|2008|Ubisoft|0.34
What Did I Do to Deserve This, My Lord!? 2|PSP|2008|Nippon Ichi Software|0.24
Scooby-Doo! Mystery Mayhem|XB|2004|THQ|0.15
White Knight Chronicles: International Edition|PS3|2008|Sony Computer Entertainment|0.93
The Legend of Zelda: Oracle of Seasons|GB|2001|Nintendo|1.86
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban|PS|1997|Konami Digital Entertainment|0.59
Kirby's Dream Land 2|GB|1995|Nintendo|2.36
UK Truck Simulator|PC|2010|N/A|0.03
Assassin's Creed: Rogue|PS3|2014|Ubisoft|1.37
SpongeBob SquarePants: Game Boy Advance Video Volume 3|GBA|2004|N/A|0.21
Minority Report: Everybody Runs|PS2|2002|Activision|0.41
SuperCar Challenge|PS3|2009|System 3 Arcade Software|0.04
Dissidia 012: Duodecim Final Fantasy|PSP|2011|Square Enix|0.89
XGRA: Extreme G Racing Association|PS2|2003|Acclaim Entertainment|0.06
Triple Pack: Xbox Live Arcade Compilation|X360|2011|Microsoft Game Studios|0.03
Secret Files: Tunguska|Wii|2008|Koch Media|0.07
Pac-Man and the Ghostly Adventures 2|WiiU|2014|Namco Bandai Games|0.07
SpongeBob SquarePants: Battle for Bikini Bottom|GBA|2003|THQ|1.23
LEGO The Hobbit|X360|2014|Warner Bros. Interactive Entertainment|0.5
Tom Clancy's Ghost Recon Advanced Warfighter|XB|2006|Ubisoft|0.33
Zoey 101: Field Trip Fiasco|DS|2007|THQ|0.02
Burnout Paradise: The Ultimate Box|X360|2009|Electronic Arts|0.04
The King of Fighters XIII|PS3|2011|Rising Star Games|0.31
Rakushou! Pachi-Slot Sengen 5: Rio Paradise|PS2|2007|Tecmo Koei|0.03
Max Payne 3|X360|2012|Take-Two Interactive|1.66
Ridge Racer Revolution|PS|1995|Sony Computer Entertainment|1.07
NHL 16|XOne|2015|Electronic Arts|0.47
Ultimate Band|DS|2008|Disney Interactive Studios|0.23
Petz Fashion: Dogz & Catz|DS|2009|Ubisoft|0.11
Sonic Boom: Fire & Ice|3DS|2016|Sega|0.03
Game of Thrones|PS3|2012|Focus Home Interactive|0.25
Dragon Ball Z: Budokai Tenkaichi|PS2|2005|Atari|1.66
Gears of War|PC|2007|Microsoft Game Studios|0.02
Dissidia: Final Fantasy|PSP|2008|Square Enix|2.25
Puppies 3D|3DS|2011|Ubisoft|0.13
Dragon Quest III: Soshite Densetsu e...|SNES|1996|Enix Corporation|1.36
Naruto Shippuden: Ultimate Ninja Storm 4|PS4|2016|Namco Bandai Games|1.06
The Train Giant|PC|2012|Ascaron Entertainment|0.01
Magnetica|DS|2006|Nintendo|0.14
Warhammer 40,000: Fire Warrior|PS2|2003|THQ|0.15
Dora's Big Birthday Adventure|PS2|2010|Take-Two Interactive|0.04
Winter Stars|Wii|2011|Deep Silver|0.13
The Rise of the Argonauts|PS3|2008|Codemasters|0.19
Cars: Mater-National Championship|PS2|2007|THQ|0.25
Hasbro Family Game Night 3|X360|2010|Electronic Arts|0.21
Rockstar Games presents Table Tennis|Wii|2007|Take-Two Interactive|1.27
Dragon Force|SAT|1996|Sega|0.3
High Velocity Bowling|PS3|2010|Sony Computer Entertainment|0.15
Tom Clancy's Rainbow Six 3|GC|2004|Ubisoft|0.06
Tiger Woods PGA Tour 13|X360|2012|Electronic Arts|0.51
Spider-Man: Edge of Time|PS3|2011|Activision|0.23
MAPLUS: Portable Navi|PSP|2006|Edia|0.07
Naruto: Ultimate Ninja Heroes|PSP|2006|Namco Bandai Games|0.26
Mario Kart: Super Circuit|GBA|2001|Nintendo|5.47
Harry Potter and the Sorcerer's Stone|GBA|2001|Electronic Arts|1.69
Sonic Adventure|DC|1998|Sega|2.42
Battle Hunter|PS|1999|Midas Interactive Entertainment|0.04
Uta no Prince-Sama: Music|PSP|2011|Broccoli|0.1
Burnout 2: Point of Impact|PS2|2002|Acclaim Entertainment|0.85
J-League Winning Eleven 2008: Club Championship|PS2|2008|Konami Digital Entertainment|0.22
NanoBreaker|PS2|2005|Konami Digital Entertainment|0.06
Rugby World Cup 2015|PS3|2015|Ubisoft|0.07
Guitar Hero: Warriors of Rock|X360|2010|Activision|0.87
Phantom Kingdom Portable|PSP|2011|Nippon Ichi Software|0.04
Gummy Bears Mini Golf|DS|2010|Storm City Games|0.05
Dance Dance Revolution: Mario Mix|GC|2005|Nintendo|0.47
NASCAR Thunder 2004|XB|2003|Electronic Arts|0.23
Klonoa: Door to Phantomile|PS|1997|Sony Computer Entertainment|0.18
The New York Times Crosswords|DS|2007|Majesco Entertainment|0.45
Teenage Mutant Ninja Turtles: Mutants in Manhattan|XOne|2016|Activision|0.03
FairlyLife: MiracleDays|PSP|2010|Piacci|0.01
Obscure|XB|2004|MC2 Entertainment|0.04
Just Dance Kids 2|PS3|2011|Ubisoft|0.25
Derby Stallion II|SNES|1994|ASCII Entertainment|0.87
LEGO City Undercover|WiiU|2013|Nintendo|1.08
R: Racing Evolution|GC|2003|Namco Bandai Games|0.08
Dragon Ball Z: Sagas|GC|2005|Atari|0.21
ATV: Quad Power Racing|PS|2000|Acclaim Entertainment|1.04
Hitman: HD Trilogy|X360|2013|Square Enix|0.18
PopCap Arcade Vol 2|X360|2009|PopCap Games|0.03
Medal of Honor: Warfighter|PS3|2012|Electronic Arts|1.46
Pac-Man World|PS|1998|Namco Bandai Games|1.5
Star Trek: The Game|PC|2013|Namco Bandai Games|0.03
Go Diego Go! Great Dinosaur Rescue|DS|2008|Take-Two Interactive|0.48
Tales of the World: Reve Unitia|3DS|2014|Namco Bandai Games|0.11
Ro-Kyu-Bu! Lost Secret|PSP|2013|Kadokawa Shoten|0.02
Disciples III: Renaissance|PC|2010|Kalypso Media|0.02
Rugby League Live 3|X360|2015|Tru Blu Entertainment|0.03
Splatoon|WiiU|2015|Nintendo|4.57
Sword of Mana|GBA|2003|Nintendo|0.74
NBA Live 2003|PS2|2002|Electronic Arts|1.66
Charlotte's Web|DS|2006|Sega|0.09
DualPenSports|3DS|2011|Namco Bandai Games|0.11
Yuusha no Kuse ni Namaikida Or 3D|PSP|2010|Sony Computer Entertainment|0.11
Strikers 1945|PS|1998|Midas Interactive Entertainment|0.12
DiRT 3|PS3|2011|Codemasters|1.08
All-Star Baseball 2002|PS2|2001|Acclaim Entertainment|0.56
Bass Pro Shops: The Hunt|Wii|2010|XS Games|0.24
Formula 1|PS|1996|Psygnosis|0.76
Kirby Squeak Squad|DS|2006|Nintendo|1.96
Grand Slam|PS|1997|Virgin Interactive|0.04
Blazblue: Continuum Shift Extend|PSV|2011|PQube|0.12
The Sims 3: Generations|PC|2011|Electronic Arts|0.63
Deca Sports 3|Wii|2010|Hudson Soft|0.24
Dragon Ball Z: Infinite World|PS2|2008|Namco Bandai Games|0.36
Fashion Studio: Paris Collection|DS|2009|Ubisoft|0.13
Disney's Donald Duck: Goin' Quackers|GC|2002|Ubisoft|0.04
Classic NES Series: Metroid|GBA|2004|Nintendo|0.43
NBA Ballers|XB|2004|Midway Games|0.51
XIII|GC|2003|Ubisoft|0.09
Way of the Samurai 4|PS3|2011|Nippon Ichi Software|0.2
Wild ARMs 5|PS2|2006|505 Games|0.28
Super Mario All-Stars: Limited Edition|Wii|2010|Nintendo|2.6
Grand Theft Auto: Chinatown Wars|DS|2009|Take-Two Interactive|1.35
UnchainBlades EXXiV|PSP|2012|FuRyu|0.02
Mystery Trackers: The Void|PC|2011|Focus Home Interactive|0.03
Killer Instinct Gold|N64|1996|Nintendo|0.82
Baldur's Gate: Dark Alliance|PS2|2001|Virgin Interactive|1.24
Tekken 6|X360|2009|Namco Bandai Games|1.31
Guitar Hero Live|X360|2015|Activision|0.24
Battle Arena Toshinden|PS|1994|Sony Computer Entertainment|1.27
Gallop Racer 2004|PS2|2004|Zoo Digital Publishing|0.06
Gekijouban Madoka Magicka: The Battle Pentagram|PSV|2013|Namco Bandai Games|0.08
NBA Street V3|GC|2005|Electronic Arts|0.29
Cabela's Trophy Bucks|X360|2007|Activision Value|0.05
Danganronpa: Trigger Happy Havoc|PSP|N/A|Unknown|0.24
Madden NFL 09|DS|2008|Electronic Arts|0.33
NASCAR '14|PS3|2014|Deep Silver|0.1
Army Men: Sarge's Heroes 2|PS|2000|3DO|0.24
Lightning Returns: Final Fantasy XIII|PS3|2013|Square Enix|1.1
Romancing SaGa 3|SNES|1995|SquareSoft|1.3
Space Jam|PS|1996|Acclaim Entertainment|0.92
SAW|X360|2009|Konami Digital Entertainment|0.29
Shin Megami Tensei: Persona 2: Innocent Sin|PSP|2011|Atlus|0.3
Senran Kagura 2: Deep Crimson|3DS|2014|Marvelous Entertainment|0.21
Grand Theft Auto: San Andreas|PS2|2004|Take-Two Interactive|20.81
Lollipop Chainsaw|X360|2012|Warner Bros. Interactive Entertainment|0.49
Classic NES Series: Pac-Man|GBA|2004|Nintendo|0.46
E.X. Troopers|3DS|2012|Capcom|0.07
Yes! PreCure 5|DS|2007|Namco Bandai Games|0.04
PDC World Championship Darts 2008|PSP|N/A|Oxygen Interactive|0.01
Golden Axe: The Duel|SAT|1994|Sega|0.05
Kobitodzukan: Kobito Kansatsu Set|3DS|2012|Nippon Columbia|0.28
Batman: Arkham Origins|WiiU|2013|Warner Bros. Interactive Entertainment|0.33
Yakuza Kiwami|PS4|2016|Sega|0.16
Racing Gears Advance|GBA|2004|Zoo Digital Publishing|0.06
Tiger Woods PGA Tour 2001|PS2|2001|Electronic Arts|0.74
Treasure Hunter G|SNES|1996|SquareSoft|0.2
Burnout|PS2|2001|Acclaim Entertainment|0.74
Aliens vs Predator|X360|2010|Sega|1.06
Elminage III: Ankoku no Shito to Yaiyou no Kyuuden|PSP|2011|Starfish|0.02
We Ski & Snowboard|Wii|2008|Atari|0.9
Big League Sports: Summer|DS|2009|Activision|0.11
Ty the Tasmanian Tiger|XB|2002|Electronic Arts|0.18
Mario & Wario|SNES|1993|Nintendo|0.49
Taiko no Tatsujin Portable DX|PSP|2011|Namco Bandai Games|0.38
The House of the Dead|SAT|1997|Sega|0.13
Vertigo|Wii|2009|Playlogic Game Factory|0.05
Etrian Odyssey II: Heroes of Lagaard|3DS|2014|Atlus|0.1
MX vs. ATV Supercross|PS3|2014|Nordic Games|0.03
Pro Race Driver|XB|2003|Codemasters|0.04
Hexyz Force|PSP|2009|Atlus|0.14
Spider-Man 3|Wii|2007|Activision|0.48
Puzzle Challenge: Crosswords and More!|PSP|2006|Crave Entertainment|0.2
Sonic & Knuckles|GEN|1994|Sega|1.82
Zoo Tycoon 2|PC|2004|Microsoft Game Studios|0.06
Learn Chess|DS|2009|DreamCatcher Interactive|0.1
Sonic the Hedgehog|PS3|N/A|N/A|0.48
Airline Tycoon|PC|2000|Interplay|0.02
Ben 10 Galactic Racing|Wii|2011|D3Publisher|0.13
Shadow of the Colossus|PS3|2011|Sony Computer Entertainment|0.04
Boku no Natsuyasumi Portable: Mushi Mushi Hakase to Teppen-yama no Himitsu!!|PSP|2006|Sony Computer Entertainment|0.1
Medal of Honor: European Assault|XB|2005|Electronic Arts|0.53
Imagine Figure Skater (JP sales)|DS|2007|Ubisoft|0.01
Cross Treasures|DS|2009|Square Enix|0.02
Pirates: Hunt For Blackbeard's Booty|Wii|2008|Activision|0.18
Tropico 3|X360|2009|Kalypso Media|0.22
The Elder Scrolls IV: Oblivion|PS3|2007|Ubisoft|3.12
Port Royale 2|PC|2004|Ascaron Entertainment GmbH|0.04
NBA Street Vol. 2|PS2|2003|Electronic Arts|1.95
Street Fighter X Tekken|X360|2012|Capcom|0.47
The Sims 3: World Adventures|PC|2009|Electronic Arts|0.58
Broken Sword: The Shadow of the Templars|GBA|2002|BAM! Entertainment|0.06
Need for Speed Underground 2|XB|2004|Electronic Arts|2.28
Real Pool|PS2|2000|Midas Interactive Entertainment|0.28
Madden NFL 97|PS|1996|Electronic Arts|1.32
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5|PS3|2015|Namco Bandai Games|0.02
Jewels of the Ages|DS|2011|City Interactive|0.07
Flipnic: Ultimate Pinball|PS2|2003|Ubisoft|0.06
Little League World Series Baseball 2008|Wii|2008|Activision|0.1
Teenage Mutant Ninja Turtles: Smash-Up|PS2|2009|Ubisoft|0.21
Imagine: Master Chef|DS|2007|Ubisoft|1.47
Thrillville: Off the Rails|DS|2007|LucasArts|0.05
Touch Mechanic|DS|2008|Nintendo|0.1
Singularity|X360|N/A|Unknown|0.32
Zoboomafoo: Leapin' Lemurs!|PS|2001|Encore|0.03
Clannad|PSP|2008|Prototype|0.04
Super Mario Bros.|NES|1985|Nintendo|40.24
Final Fantasy Adventure|GB|1991|SquareSoft|0.38
Skylanders SWAP Force|X360|2013|Activision|1.33
The Lost Treasures of Alexandria|DS|2011|Unknown|0.05
The Incredible Hulk|GBA|2003|Universal Interactive|0.56
Armored Core V|PS3|2012|Namco Bandai Games|0.4
Monster Jam: Urban Assault|PSP|2008|Activision|0.09
Sloane to MacHale no Nazo no Monogatari 2|DS|2009|Level 5|0.09
NBA Street|PS2|2001|Electronic Arts|2.79
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen|PSP|2008|Marvelous Interactive|0.03
Jig-A-Pix: Wild World|DS|2009|Zushi Games|0.03
Spyro: A Hero's Tail|PS2|2004|Vivendi Games|0.64
Bad Apple Wars|PSV|2015|Idea Factory|0.03
Myth Makers: Trixie in Toyland|Wii|2008|Popcorn Arcade|0.04
Excitebike|NES|1984|Nintendo|4.16
Scooby-Doo! First Frights|PS2|2009|Warner Bros. Interactive Entertainment|0.33
Vandal Hearts|PS|1996|Konami Digital Entertainment|0.45
Happy Cooking|DS|2006|Ubisoft|0.18
Midnight Club II|PS2|2003|Take-Two Interactive|1.78
Tom Clancy's Rainbow Six: Siege|PC|2015|Ubisoft|0.22
Silhouette Mirage|PS|1998|ESP|0.05
MySims Party|DS|2009|Electronic Arts|0.3
Tiger Woods PGA Tour 2004|GC|2003|Electronic Arts|0.16
The Destiny of Zorro|Wii|2009|505 Games|0.1
Defendin' De Penguin|DS|2008|Zushi Games|0.02
Tales of Phantasia|GBA|2003|Nintendo|0.29
Evil Dead: Fistfull of Boomstick|XB|2003|THQ|0.1
Hunted: The Demon's Forge|PC|2011|Bethesda Softworks|0.05
MVP Baseball 2005|GC|2005|Electronic Arts|0.33
Armored Core 4|PS3|2006|505 Games|0.2
Tiger Woods PGA Tour 06|X360|2005|Electronic Arts|0.31
Rock Band 3|DS|2010|MTV Games|0.1
Skylanders Giants|3DS|2012|Activision|0.14
Kawaii Koinu DS 3|DS|2010|MTO|0.02
Pet Pals: Animal Doctor|Wii|2008|JoWood Productions|0.14
Tokyo Xtreme Racer|DC|1999|Genki|0.17
Lumines: Puzzle Fusion|PSP|2004|Ubisoft|1.11
Rock Band 3|PS3|2010|MTV Games|0.58
Tiger Woods PGA Tour 08|PS2|2007|Electronic Arts|0.39
Dragonseeds|PS|1998|Jaleco|0.1
FIFA Soccer 13|X360|2012|Electronic Arts|5.18
Desert Strike Advance|GBA|2002|Electronic Arts|0.06
Disney's Chicken Little|GC|2005|Disney Interactive Studios|0.27
WWE Raw 2|XB|2003|THQ|0.56
Call of Duty: Modern Warfare Trilogy|X360|2016|Activision|0.02
Centipede|2600|1981|Atari|1.36
Over the Hedge|GC|2006|Activision|0.35
Dance Central: Spotlight|XOne|2014|Microsoft Game Studios|0.19
Nodame Cantabile|DS|2007|Namco Bandai Games|0.1
EyeToy: Kinetic|PS2|2005|Sony Computer Entertainment|0.17
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales)|Wii|N/A|N/A|0.35
Kamen Rider Ryuki|PS|2002|Namco Bandai Games|0.14
Monster High 13 Wishes|WiiU|2013|Little Orbit|0.03
State of Emergency|PS2|2002|Take-Two Interactive|1.76
Dragon Ball: XenoVerse|PS3|2015|Namco Bandai Games|0.55
Ninja Gaiden 3|X360|2012|Tecmo Koei|0.25
Famicom Mini: Nazo no Murasame-Jou|GBA|2004|Nintendo|0.07
Chocobo no Fushigi Dungeon|PS|1997|SquareSoft|1.22
NASCAR 99|N64|1998|Electronic Arts|0.98
Naruto Shippuden: Gekito Ninja Taisen! Special|Wii|2010|Takara Tomy|0.06
Ready 2 Rumble Boxing: Round 2|N64|2000|Midway Games|0.24
Penny Racers|PS|1996|Sony Computer Entertainment|0.25
Mega Man Battle Network|GBA|2001|Capcom|0.42
Body Harvest|N64|1998|Gremlin Interactive Ltd|0.2
Rango: The Video Game|PS3|2011|Electronic Arts|0.19
Star Wars Battlefront: Renegade Squadron|PSP|2007|LucasArts|1.68
MetropolisMania|PS2|2001|Natsume|0.09
